name,latitude,longitude,google_id,attributes,popular_times
Santa Eulàlia de Vilapicina,41.43072358230434,2.1729158525346945,ChIJk9wY7i-9pBIRJUP_m4bks2Q,"[""church"", ""establishment"", ""place_of_worship"", ""point_of_interest""]",
Museu del Modernisme de Barcelona,41.38890739636273,2.163402681362388,ChIJ2dubGI2ipBIRAnsqWSrXd_g,"[""establishment"", ""museum"", ""point_of_interest""]",
Casa Llorenç Camprubí,41.38934938466776,2.170855670436062,ChIJAQB0vvGipBIRHxsgPCG2cBY,"[""establishment"", ""point_of_interest""]",
Forn Sarret,41.39477841624774,2.1710520735754435,ChIJQXNzwe6ipBIRIHXraUl_Brg,"[""bakery"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",
Parc del Fòrum,41.41106682138965,2.221714876463801,ChIJxSEvC1ejpBIR7adE3GLPTOY,"[""establishment"", ""park"", ""point_of_interest"", ""tourist_attraction""]",
W Barcelona,41.36836130546307,2.1899983126477727,ChIJJVBihbGjpBIRCy9-D3gM6Fk,"[""establishment"", ""lodging"", ""point_of_interest""]",
Palau de Congressos de Barcelona,41.38351274680861,2.109683125759429,ChIJgT5LX3qipBIRghBrJ215-BQ,"[""establishment"", ""point_of_interest""]",
Antiga fàbrica de Can Batlló,41.36821672386639,2.13750278498328,ChIJbQknp2OZpBIRSRQNUrVH_Fs,"[""establishment"", ""point_of_interest""]",
Meliá Barcelona Sky,41.40628819017893,2.200634797754356,ChIJHbqRODmjpBIRzwMY9hE_-8s,"[""establishment"", ""lodging"", ""point_of_interest""]",
Finca Sansalvador,41.418944974567545,2.148358843174665,ChIJuf52CauipBIRjXQgLM6zJRs,"[""establishment"", ""museum"", ""point_of_interest""]",
Monument a les Brigades Internacionals,41.42487315212389,2.157703561885268,ChIJ23HrTcC9pBIRpyJjtAo0uf4,"[""establishment"", ""point_of_interest""]",
Plaça de Catalunya,41.38604507506723,2.169418215449664,ChIJGUgrYPGipBIRS9ZgHK_C7B4,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
La Clota,41.42664948190676,2.150985823958698,ChIJk_ZM6FG9pBIRcvGCQOH6ACY,"[""neighborhood"", ""political""]",
Club Natació Barcelona,41.37127323270199,2.187849724478972,ChIJI-_FFKyjpBIRMyrpn-3OEnM,"[""establishment"", ""gym"", ""health"", ""point_of_interest""]",
Claror Can Caralleu Centre Esportiu,41.40098699374353,2.1105047906383008,ChIJxRNx_EmYpBIRD_-tEJytckA,"[""establishment"", ""gym"", ""health"", ""point_of_interest"", ""spa""]",
Universitat Politècnica de Catalunya · Barcelona Tech - UPC,41.3889419870853,2.116537839859507,ChIJR_sZa1GZpBIRpEI4abRvmLA,"[""establishment"", ""point_of_interest"", ""university""]",
